unicode,latex
00020,"\space"
00021,"\mathexclam"
00022,""""
00023,"\mathoctothorpe"
00024,"\$ \mathdollar"
00025,"\mathpercent"
00026,"\mathampersand"
00027,"\textquotesingle"
00028,"\lparen"
00029,"\rparen"
0002A,"\ast"
0002B,"\mathplus"
0002C,"\mathcomma"
0002D,"-"
0002E,"\mathperiod"
0002F,"\mathslash"
00030,"0"
00031,"1"
00032,"2"
00033,"3"
00034,"4"
00035,"5"
00036,"6"
00037,"7"
00038,"8"
00039,"9"
0003A,"\mathcolon"
0003B,"\mathsemicolon"
0003C,"\less"
0003D,"\equal"
0003E,"\greater"
0003F,"\mathquestion"
00040,"\mathatsign"
00041,"A"
00042,"B"
00043,"C"
00044,"D"
00045,"E"
00046,"F"
00047,"G"
00048,"H"
00049,"I"
0004A,"J"
0004B,"K"
0004C,"L"
0004D,"M"
0004E,"N"
0004F,"O"
00050,"P"
00051,"Q"
00052,"R"
00053,"S"
00054,"T"
00055,"U"
00056,"V"
00057,"W"
00058,"X"
00059,"Y"
0005A,"Z"
0005B,"\lbrack"
0005C,"\backslash  \backslash"
0005D,"\rbrack"
0005E,"\^{}"
0005F,"\_"
00060,"\textasciigrave"
00061,"a"
00062,"b"
00063,"c"
00064,"d"
00065,"e"
00066,"f"
00067,"g"
00068,"h"
00069,"i"
0006A,"j"
0006B,"k"
0006C,"l"
0006D,"m"
0006E,"n"
0006F,"o"
00070,"p"
00071,"q"
00072,"r"
00073,"s"
00074,"t"
00075,"u"
00076,"v"
00077,"w"
00078,"x"
00079,"y"
0007A,"z"
0007B,"\lbrace"
0007C,"\vert"
0007D,"\rbrace"
0007E,"\textasciitilde"
000A0,"~"
000A1,"\textexclamdown"
000A2,"\mbox{\textcent}"
000A3,"\pounds  \mathsterling"
000A4,"\mbox{\textcurrency}"
000A5,"\yen  \mathyen"
000A6,"\textbrokenbar"
000A7,"\S"
000A8,"\textasciidieresis"
000A9,"\copyright"
000AA,"\textordfeminine"
000AB,"\mbox{\guillemotleft}"
000AC,"\neg"
000AD,"\-"
000AE,"\circledR"
000AF,"\textasciimacron"
000B0,"\mbox{\textdegree}"
000B1,"\pm"
000B2,"{^2}"
000B3,"{^3}"
000B4,"\textasciiacute"
000B5,"\mathrm{\mu}"
000B6,"\P"
000B7,"\cdotp"
000B8,"\mbox{\c{}}"
000B9,"{^1}"
000BA,"\textordmasculine"
000BB,"\mbox{\guillemotright}"
000BC,"\textonequarter"
000BD,"\textonehalf"
000BE,"\textthreequarters"
000BF,"\textquestiondown"
000C0,"\grave{A}"
000C1,"\acute{A}"
000C2,"\hat{A}"
000C3,"\tilde{A}"
000C4,"\ddot{A}"
000C5,"\AA"
000C6,"\AE"
000C7,"\mbox{\c{C}}"
000C8,"\grave{E}"
000C9,"\acute{E}"
000CA,"\hat{E}"
000CB,"\ddot{E}"
000CC,"\grave{I}"
000CD,"\acute{I}"
000CE,"\hat{I}"
000CF,"\ddot{I}"
000D0,"\DH"
000D1,"\tilde{N}"
000D2,"\grave{O}"
000D3,"\acute{O}"
000D4,"\hat{O}"
000D5,"\tilde{O}"
000D6,"\ddot{O}"
000D7,"\times  \times"
000D8,"\O"
000D9,"\grave{U}"
000DA,"\acute{U}"
000DB,"\hat{U}"
000DC,"\ddot{U}"
000DD,"\acute{Y}"
000DE,"\TH"
000DF,"\ss"
000E0,"\grave{a}"
000E1,"\acute{a}"
000E2,"\hat{a}"
000E3,"\tilde{a}"
000E4,"\ddot{a}"
000E5,"\aa"
000E6,"\ae"
000E7,"\mbox{\c{c}}"
000E8,"\grave{e}"
000E9,"\acute{e}"
000EA,"\hat{e}"
000EB,"\ddot{e}"
000EC,"\grave{\imath}"
000ED,"\acute{\imath}"
000EE,"\hat{\imath}"
000EF,"\ddot{\imath}"
000F0,"\matheth"
000F1,"\tilde{n}"
000F2,"\grave{o}"
000F3,"\acute{o}"
000F4,"\hat{o}"
000F5,"\tilde{o}"
000F6,"\ddot{o}"
000F7,"\div"
000F8,"\o"
000F9,"\grave{u}"
000FA,"\acute{u}"
000FB,"\hat{u}"
000FC,"\ddot{u}"
000FD,"\acute{y}"
000FE,"\th"
000FF,"\ddot{y}"
00100,"\bar{A}"
00101,"\bar{a}"
00102,"\breve{A}"
00103,"\u{a}"
00104,"\k{A}"
00105,"\k{a}"
00106,"\acute{C}"
00107,"\acute{c}"
00108,"\hat{C}"
00109,"\hat{c}"
0010A,"\dot{C}"
0010B,"\dot{c}"
0010C,"\check{C}"
0010D,"\check{c}"
0010E,"\check{D}"
0010F,"\check{d}"
00110,"\DJ"
00111,"\dj"
00112,"\bar{E}"
00113,"\bar{e}"
00114,"\breve{E}"
00115,"\breve{e}"
00116,"\dot{E}"
00117,"\dot{e}"
00118,"\k{E}"
00119,"\k{e}"
0011A,"\check{E}"
0011B,"\check{e}"
0011C,"\hat{G}"
0011D,"\hat{g}"
0011E,"\breve{G}"
0011F,"\breve{g}"
00120,"\dot{G}"
00121,"\dot{g}"
00122,"\mbox{\c{G}}"
00123,"\mbox{\c{g}}"
00124,"\hat{H}"
00125,"\hat{h}"
00126,"{\fontencoding{LELA}\selectfont\char40}"
00127,"\Elzxh"
00128,"\tilde{I}"
00129,"\tilde{\imath}"
0012A,"\bar{I}"
0012B,"\bar{\imath}"
0012C,"\breve{I}"
0012D,"\breve{\imath}"
0012E,"\k{I}"
0012F,"\k{i}"
00130,"\dot{I}"
00131,"\imath"
00132,"IJ"
00133,"ij"
00134,"\hat{J}"
00135,"\hat{\jmath}"
00136,"\mbox{\c{K}}"
00137,"\mbox{\c{k}}"
00138,"{\fontencoding{LELA}\selectfont\char91}"
00139,"\acute{L}"
0013A,"\acute{l}"
0013B,"\mbox{\c{L}}"
0013C,"\mbox{\c{l}}"
0013D,"\check{L}"
0013E,"\check{l}"
0013F,"{\fontencoding{LELA}\selectfont\char201}"
00140,"{\fontencoding{LELA}\selectfont\char202}"
00141,"\L"
00142,"\l"
00143,"\acute{N}"
00144,"\acute{n}"
00145,"\mbox{\c{N}}"
00146,"\mbox{\c{n}}"
00147,"\check{N}"
00148,"\check{n}"
00149,"'n"
0014A,"\NG"
0014B,"\ng"
0014C,"\bar{O}"
0014D,"\bar{o}"
0014E,"\breve{O}"
0014F,"\breve{o}"
00150,"\mbox{\H{O}}"
00151,"\mbox{\H{o}}"
00152,"\OE"
00153,"\oe"
00154,"\acute{R}"
00155,"\acute{r}"
00156,"\mbox{\c{R}}"
00157,"\mbox{\c{r}}"
00158,"\check{R}"
00159,"\check{r}"
0015A,"\acute{S}"
0015B,"\acute{s}"
0015C,"\hat{S}"
0015D,"\hat{s}"
0015E,"\mbox{\c{S}}"
0015F,"\mbox{\c{s}}"
00160,"\check{S}"
00161,"\check{s}"
00162,"\mbox{\c{T}}"
00163,"\mbox{\c{t}}"
00164,"\check{T}"
00165,"\check{t}"
00166,"{\fontencoding{LELA}\selectfont\char47}"
00167,"{\fontencoding{LELA}\selectfont\char63}"
00168,"\tilde{U}"
00169,"\tilde{u}"
0016A,"\bar{U}"
0016B,"\bar{u}"
0016C,"\breve{U}"
0016D,"\breve{u}"
0016E,"\mathring{U}"
0016F,"\mathring{u}"
00170,"\mbox{\H{U}}"
00171,"\mbox{\H{u}}"
00172,"\k{U}"
00173,"\k{u}"
00174,"\hat{W}"
00175,"\hat{w}"
00176,"\hat{Y}"
00177,"\hat{y}"
00178,"\ddot{Y}"
00179,"\acute{Z}"
0017A,"\acute{z}"
0017B,"\dot{Z}"
0017C,"\dot{z}"
0017D,"\check{Z}"
0017E,"\check{z}"
00192,"f"
00195,"\texthvlig"
0019E,"\textnrleg"
001AA,"\eth"
001BA,"{\fontencoding{LELA}\selectfont\char195}"
001C2,"\textdoublepipe"
001F5,"\acute{g}"
00250,"\Elztrna"
00252,"\Elztrnsa"
00254,"\Elzopeno"
00256,"\Elzrtld"
00258,"{\fontencoding{LEIP}\selectfont\char61}"
00259,"\Elzschwa"
0025B,"\varepsilon"
00261,"g"
00263,"\Elzpgamma"
00264,"\Elzpbgam"
00265,"\Elztrnh"
0026C,"\Elzbtdl"
0026D,"\Elzrtll"
0026F,"\Elztrnm"
00270,"\Elztrnmlr"
00271,"\Elzltlmr"
00272,"\Elzltln"
00273,"\Elzrtln"
00277,"\Elzclomeg"
00278,"\textphi"
00279,"\Elztrnr"
0027A,"\Elztrnrl"
0027B,"\Elzrttrnr"
0027C,"\Elzrl"
0027D,"\Elzrtlr"
0027E,"\Elzfhr"
0027F,"{\fontencoding{LEIP}\selectfont\char202}"
00282,"\Elzrtls"
00283,"\Elzesh"
00287,"\Elztrnt"
00288,"\Elzrtlt"
0028A,"\Elzpupsil"
0028B,"\Elzpscrv"
0028C,"\Elzinvv"
0028D,"\Elzinvw"
0028E,"\Elztrny"
00290,"\Elzrtlz"
00292,"\Elzyogh"
00294,"\Elzglst"
00295,"\Elzreglst"
00296,"\Elzinglst"
0029E,"\textturnk"
002A4,"\Elzdyogh"
002A7,"\Elztesh"
002BC,"'"
002C7,"\textasciicaron"
002C8,"\Elzverts"
002CC,"\Elzverti"
002D0,"\Elzlmrk"
002D1,"\Elzhlmrk"
002D2,"\Elzsbrhr"
002D3,"\Elzsblhr"
002D4,"\Elzrais"
002D5,"\Elzlow"
002D8,"\u"
002D9,"\dot{}"
002DA,"\mathring{}"
002DB,"\mbox{\k{}}"
002DC,"\texttildelow"
002DD,"\mbox{\H{}}"
002E5,"\tone{55}"
002E6,"\tone{44}"
002E7,"\tone{33}"
002E8,"\tone{22}"
002E9,"\tone{11}"
00300,"\grave \grave"
00301,"\acute \acute"
00302,"\hat \hat"
00303,"\tilde \tilde"
00304,"\bar \bar"
00306,"\breve \breve"
00307,"\dot \dot"
00308,"\ddot \ddot"
0030A,"\ocirc"
0030B,"\H"
0030C,"\check \check"
0030F,"\cyrchar\C"
00311,"{\fontencoding{LECO}\selectfont\char177}"
00318,"{\fontencoding{LECO}\selectfont\char184}"
00319,"{\fontencoding{LECO}\selectfont\char185}"
00321,"\Elzpalh"
00322,"\Elzrh"
00327,"\c"
00328,"\k"
0032A,"\Elzsbbrg"
0032B,"{\fontencoding{LECO}\selectfont\char203}"
0032F,"{\fontencoding{LECO}\selectfont\char207}"
00335,"\Elzxl"
00336,"\Elzbar"
00337,"{\fontencoding{LECO}\selectfont\char215}"
00338,"\not"
0033A,"{\fontencoding{LECO}\selectfont\char218}"
0033B,"{\fontencoding{LECO}\selectfont\char219}"
0033C,"{\fontencoding{LECO}\selectfont\char220}"
0033D,"{\fontencoding{LECO}\selectfont\char221}"
00361,"{\fontencoding{LECO}\selectfont\char225}"
00386,"\acute{A}"
00388,"\acute{E}"
00389,"\grave{H}"
0038A,"\mathrm{'I}"
0038C,"\mathrm{'O}"
0038E,"\mathrm{'Y}"
0038F,"\mathrm{'\Omega}"
00390,"\acute{\ddot{\iota}}"
00391,"\upAlpha"
00392,"\upBeta"
00393,"\upGamma"
00394,"\upDelta"
00395,"\upEpsilon"
00396,"\upZeta"
00397,"\upEta"
00398,"\upTheta"
00399,"\upIota"
0039A,"\upKappa"
0039B,"\upLambda"
0039C,"\upMu"
0039D,"\upNu"
0039E,"\upXi"
0039F,"\upOmicron"
003A0,"\upPi"
003A1,"\upRho"
003A3,"\upSigma"
003A4,"\upTau"
003A5,"\upUpsilon"
003A6,"\upPhi"
003A7,"\upChi"
003A8,"\upPsi"
003A9,"\upOmega"
003AA,"\mathrm{\ddot{I}}"
003AB,"\mathrm{\ddot{Y}}"
003AC,"\acute{\alpha}"
003AD,"\acute{\epsilon}"
003AE,"\acute{\eta}"
003AF,"\acute{\iota}"
003B0,"\acute{\ddot{\upsilon}}"
003B1,"\upalpha"
003B2,"\upbeta"
003B3,"\upgamma"
003B4,"\updelta"
003B5,"\upepsilon"
003B6,"\upzeta"
003B7,"\upeta"
003B8,"\theta  \uptheta"
003B9,"\upiota"
003BA,"\upkappa"
003BB,"\uplambda"
003BC,"\upmu"
003BD,"\upnu"
003BE,"\upxi"
003BF,"\upomicron"
003C0,"\uppi"
003C1,"\uprho"
003C2,"\upvarsigma"
003C3,"\upsigma"
003C4,"\uptau"
003C5,"\upupsilon"
003C6,"\upvarphi"
003C7,"\upchi"
003C8,"\uppsi"
003C9,"\upomega"
003CA,"\ddot{\iota}"
003CB,"\ddot{\upsilon}"
003CC,"\acute{o}"
003CD,"\acute{\upsilon}"
003CE,"\acute{\omega}"
003D0,"\upvarbeta"
003D1,"\vartheta  \upvartheta"
003D2,"\Upsilon"
003D5,"\upphi"
003D6,"\upvarpi"
003DA,"\upStigma"
003DC,"\upDigamma"
003DD,"\updigamma"
003DE,"\upKoppa"
003E0,"\upSampi"
003F0,"\upvarkappa"
003F1,"\upvarrho"
003F4,"\upvarTheta"
003F6,"\upbackepsilon"
00401,"\cyrchar\CYRYO"
00402,"\cyrchar\CYRDJE"
00403,"\cyrchar{\'\CYRG}"
00404,"\cyrchar\CYRIE"
00405,"\cyrchar\CYRDZE"
00406,"\cyrchar\CYRII"
00407,"\cyrchar\CYRYI"
00408,"\cyrchar\CYRJE"
00409,"\cyrchar\CYRLJE"
0040A,"\cyrchar\CYRNJE"
0040B,"\cyrchar\CYRTSHE"
0040C,"\cyrchar{\'\CYRK}"
0040E,"\cyrchar\CYRUSHRT"
0040F,"\cyrchar\CYRDZHE"
00410,"\cyrchar\CYRA"
00411,"\cyrchar\CYRB"
00412,"\cyrchar\CYRV"
00413,"\cyrchar\CYRG"
00414,"\cyrchar\CYRD"
00415,"\cyrchar\CYRE"
00416,"\cyrchar\CYRZH"
00417,"\cyrchar\CYRZ"
00418,"\cyrchar\CYRI"
00419,"\cyrchar\CYRISHRT"
0041A,"\cyrchar\CYRK"
0041B,"\cyrchar\CYRL"
0041C,"\cyrchar\CYRM"
0041D,"\cyrchar\CYRN"
0041E,"\cyrchar\CYRO"
0041F,"\cyrchar\CYRP"
00420,"\cyrchar\CYRR"
00421,"\cyrchar\CYRS"
00422,"\cyrchar\CYRT"
00423,"\cyrchar\CYRU"
00424,"\cyrchar\CYRF"
00425,"\cyrchar\CYRH"
00426,"\cyrchar\CYRC"
00427,"\cyrchar\CYRCH"
00428,"\cyrchar\CYRSH"
00429,"\cyrchar\CYRSHCH"
0042A,"\cyrchar\CYRHRDSN"
0042B,"\cyrchar\CYRERY"
0042C,"\cyrchar\CYRSFTSN"
0042D,"\cyrchar\CYREREV"
0042E,"\cyrchar\CYRYU"
0042F,"\cyrchar\CYRYA"
00430,"\cyrchar\cyra"
00431,"\cyrchar\cyrb"
00432,"\cyrchar\cyrv"
00433,"\cyrchar\cyrg"
00434,"\cyrchar\cyrd"
00435,"\cyrchar\cyre"
00436,"\cyrchar\cyrzh"
00437,"\cyrchar\cyrz"
00438,"\cyrchar\cyri"
00439,"\cyrchar\cyrishrt"
0043A,"\cyrchar\cyrk"
0043B,"\cyrchar\cyrl"
0043C,"\cyrchar\cyrm"
0043D,"\cyrchar\cyrn"
0043E,"\cyrchar\cyro"
0043F,"\cyrchar\cyrp"
00440,"\cyrchar\cyrr"
00441,"\cyrchar\cyrs"
00442,"\cyrchar\cyrt"
00443,"\cyrchar\cyru"
00444,"\cyrchar\cyrf"
00445,"\cyrchar\cyrh"
00446,"\cyrchar\cyrc"
00447,"\cyrchar\cyrch"
00448,"\cyrchar\cyrsh"
00449,"\cyrchar\cyrshch"
0044A,"\cyrchar\cyrhrdsn"
0044B,"\cyrchar\cyrery"
0044C,"\cyrchar\cyrsftsn"
0044D,"\cyrchar\cyrerev"
0044E,"\cyrchar\cyryu"
0044F,"\cyrchar\cyrya"
00451,"\cyrchar\cyryo"
00452,"\cyrchar\cyrdje"
00453,"\cyrchar{\'\cyrg}"
00454,"\cyrchar\cyrie"
00455,"\cyrchar\cyrdze"
00456,"\cyrchar\cyrii"
00457,"\cyrchar\cyryi"
00458,"\cyrchar\cyrje"
00459,"\cyrchar\cyrlje"
0045A,"\cyrchar\cyrnje"
0045B,"\cyrchar\cyrtshe"
0045C,"\cyrchar{\'\cyrk}"
0045E,"\cyrchar\cyrushrt"
0045F,"\cyrchar\cyrdzhe"
00460,"\cyrchar\CYROMEGA"
00461,"\cyrchar\cyromega"
00462,"\cyrchar\CYRYAT"
00464,"\cyrchar\CYRIOTE"
00465,"\cyrchar\cyriote"
00466,"\cyrchar\CYRLYUS"
00467,"\cyrchar\cyrlyus"
00468,"\cyrchar\CYRIOTLYUS"
00469,"\cyrchar\cyriotlyus"
0046A,"\cyrchar\CYRBYUS"
0046C,"\cyrchar\CYRIOTBYUS"
0046D,"\cyrchar\cyriotbyus"
0046E,"\cyrchar\CYRKSI"
0046F,"\cyrchar\cyrksi"
00470,"\cyrchar\CYRPSI"
00471,"\cyrchar\cyrpsi"
00472,"\cyrchar\CYRFITA"
00474,"\cyrchar\CYRIZH"
00478,"\cyrchar\CYRUK"
00479,"\cyrchar\cyruk"
0047A,"\cyrchar\CYROMEGARND"
0047B,"\cyrchar\cyromegarnd"
0047C,"\cyrchar\CYROMEGATITLO"
0047D,"\cyrchar\cyromegatitlo"
0047E,"\cyrchar\CYROT"
0047F,"\cyrchar\cyrot"
00480,"\cyrchar\CYRKOPPA"
00481,"\cyrchar\cyrkoppa"
00482,"\cyrchar\cyrthousands"
00488,"\cyrchar\cyrhundredthousands"
00489,"\cyrchar\cyrmillions"
0048C,"\cyrchar\CYRSEMISFTSN"
0048D,"\cyrchar\cyrsemisftsn"
0048E,"\cyrchar\CYRRTICK"
0048F,"\cyrchar\cyrrtick"
00490,"\cyrchar\CYRGUP"
00491,"\cyrchar\cyrgup"
00492,"\cyrchar\CYRGHCRS"
00493,"\cyrchar\cyrghcrs"
00494,"\cyrchar\CYRGHK"
00495,"\cyrchar\cyrghk"
00496,"\cyrchar\CYRZHDSC"
00497,"\cyrchar\cyrzhdsc"
00498,"\cyrchar\CYRZDSC"
00499,"\cyrchar\cyrzdsc"
0049A,"\cyrchar\CYRKDSC"
0049B,"\cyrchar\cyrkdsc"
0049C,"\cyrchar\CYRKVCRS"
0049D,"\cyrchar\cyrkvcrs"
0049E,"\cyrchar\CYRKHCRS"
0049F,"\cyrchar\cyrkhcrs"
004A0,"\cyrchar\CYRKBEAK"
004A1,"\cyrchar\cyrkbeak"
004A2,"\cyrchar\CYRNDSC"
004A3,"\cyrchar\cyrndsc"
004A4,"\cyrchar\CYRNG"
004A5,"\cyrchar\cyrng"
004A6,"\cyrchar\CYRPHK"
004A7,"\cyrchar\cyrphk"
004A8,"\cyrchar\CYRABHHA"
004A9,"\cyrchar\cyrabhha"
004AA,"\cyrchar\CYRSDSC"
004AB,"\cyrchar\cyrsdsc"
004AC,"\cyrchar\CYRTDSC"
004AD,"\cyrchar\cyrtdsc"
004AE,"\cyrchar\CYRY"
004AF,"\cyrchar\cyry"
004B0,"\cyrchar\CYRYHCRS"
004B1,"\cyrchar\cyryhcrs"
004B2,"\cyrchar\CYRHDSC"
004B3,"\cyrchar\cyrhdsc"
004B4,"\cyrchar\CYRTETSE"
004B5,"\cyrchar\cyrtetse"
004B6,"\cyrchar\CYRCHRDSC"
004B7,"\cyrchar\cyrchrdsc"
004B8,"\cyrchar\CYRCHVCRS"
004B9,"\cyrchar\cyrchvcrs"
004BA,"\cyrchar\CYRSHHA"
004BB,"\cyrchar\cyrshha"
004BC,"\cyrchar\CYRABHCH"
004BD,"\cyrchar\cyrabhch"
004BE,"\cyrchar\CYRABHCHDSC"
004BF,"\cyrchar\cyrabhchdsc"
004C0,"\cyrchar\CYRpalochka"
004C3,"\cyrchar\CYRKHK"
004C4,"\cyrchar\cyrkhk"
004C7,"\cyrchar\CYRNHK"
004C8,"\cyrchar\cyrnhk"
004CB,"\cyrchar\CYRCHLDSC"
004CC,"\cyrchar\cyrchldsc"
004D4,"\cyrchar\CYRAE"
004D5,"\cyrchar\cyrae"
004D8,"\cyrchar\CYRSCHWA"
004D9,"\cyrchar\cyrschwa"
004E0,"\cyrchar\CYRABHDZE"
004E1,"\cyrchar\cyrabhdze"
004E8,"\cyrchar\CYROTLD"
004E9,"\cyrchar\cyrotld"
02002,"\hspace{0.6em}"
02003,"\hspace{1em}"
02004,"\hspace{0.33em}"
02005,"\hspace{0.25em}"
02006,"\hspace{0.166em}"
02007,"\hphantom{0}"
02008,"\hphantom{,}"
02009,"\hspace{0.167em}"
0200A,"\mkern1mu"
02010,"-"
02013,"\textendash"
02014,"---"
02015,"\horizbar"
02016,"\Vert"
02018,"`"
02019,"'"
0201A,","
0201B,"\Elzreapos"
0201C,"\textquotedblleft"
0201D,"\textquotedblright"
0201E,",,"
02020,"\dag  \dagger"
02021,"\ddag  \ddagger"
02022,"\bullet \smblkcircle"
02024,"."
02025,"\enleadertwodots"
02026,"\unicodeellipsis"
02030,"\textperthousand"
02031,"\textpertenthousand"
02032,"\prime"
02033,"\dprime"
02034,"\trprime"
02035,"\backprime"
02039,"\guilsinglleft"
0203A,"\guilsinglright"
02057,"\qprime"
0205F,"\mkern4mu"
02060,"\nolinebreak"
020A7,"\Elzpes"
020AC,"\euro"
020DB,"\dddot"
020DC,"\ddddot"
02102,"\BbbC"
0210A,"\mscrg"
0210B,"\mscrH"
0210C,"\mfrakH"
0210D,"\BbbH"
0210F,"\hslash"
02110,"\mscrI"
02111,"\Im"
02112,"\mscrL"
02113,"\ell"
02115,"\BbbN"
02116,"\cyrchar\textnumero"
02118,"\wp"
02119,"\BbbP"
0211A,"\BbbQ"
0211B,"\mscrR"
0211C,"\Re"
0211D,"\BbbR"
0211E,"\Elzxrat"
02122,"\texttrademark"
02124,"\BbbZ"
02126,"\Omega"
02127,"\mho"
02128,"\mfrakZ"
02129,"\turnediota"
0212B,"\Angstrom"
0212C,"\mscrB"
0212D,"\mfrakC"
0212F,"\mscre"
02130,"\mscrE"
02131,"\mscrF"
02133,"\mscrM"
02134,"\mscro"
02135,"\aleph"
02136,"\beth"
02137,"\gimel"
02138,"\daleth"
02153,"\textfrac{1}{3}"
02154,"\textfrac{2}{3}"
02155,"\textfrac{1}{5}"
02156,"\textfrac{2}{5}"
02157,"\textfrac{3}{5}"
02158,"\textfrac{4}{5}"
02159,"\textfrac{1}{6}"
0215A,"\textfrac{5}{6}"
0215B,"\textfrac{1}{8}"
0215C,"\textfrac{3}{8}"
0215D,"\textfrac{5}{8}"
0215E,"\textfrac{7}{8}"
02190,"\leftarrow"
02191,"\uparrow"
02192,"\rightarrow"
02193,"\downarrow"
02194,"\leftrightarrow"
02195,"\updownarrow"
02196,"\nwarrow"
02197,"\nearrow"
02198,"\searrow"
02199,"\swarrow"
0219A,"\nleftarrow"
0219B,"\nrightarrow"
0219C,"\leftwavearrow"
0219D,"\rightwavearrow"
0219E,"\twoheadleftarrow"
021A0,"\twoheadrightarrow"
021A2,"\leftarrowtail"
021A3,"\rightarrowtail"
021A6,"\mapsto"
021A9,"\hookleftarrow"
021AA,"\hookrightarrow"
021AB,"\looparrowleft"
021AC,"\looparrowright"
021AD,"\leftrightsquigarrow"
021AE,"\nleftrightarrow"
021B0,"\Lsh"
021B1,"\Rsh"
021B3,"\Rdsh"
021B6,"\curvearrowleft"
021B7,"\curvearrowright"
021BA,"\acwopencirclearrow"
021BB,"\cwopencirclearrow"
021BC,"\leftharpoonup"
021BD,"\leftharpoondown"
021BE,"\upharpoonright"
021BF,"\upharpoonleft"
021C0,"\rightharpoonup"
021C1,"\rightharpoondown"
021C2,"\downharpoonright"
021C3,"\downharpoonleft"
021C4,"\rightleftarrows"
021C5,"\updownarrows"
021C6,"\leftrightarrows"
021C7,"\leftleftarrows"
021C8,"\upuparrows"
021C9,"\rightrightarrows"
021CA,"\downdownarrows"
021CB,"\leftrightharpoons"
021CC,"\rightleftharpoons"
021CD,"\nLeftarrow"
021CE,"\nLeftrightarrow"
021CF,"\nRightarrow"
021D0,"\Leftarrow"
021D1,"\Uparrow"
021D2,"\Rightarrow"
021D3,"\Downarrow"
021D4,"\Leftrightarrow"
021D5,"\Updownarrow"
021DA,"\Lleftarrow"
021DB,"\Rrightarrow"
021DD,"\rightsquigarrow"
021F5,"\downuparrows"
02200,"\forall"
02201,"\complement"
02202,"\partial"
02203,"\exists"
02204,"\nexists"
02205,"\varnothing"
02207,"\nabla"
02208,"\in"
02209,"\notin"
0220B,"\ni"
0220C,"\nni"
0220F,"\prod"
02210,"\coprod"
02211,"\sum"
02212,"\minus"
02213,"\mp"
02214,"\dotplus"
02216,"\smallsetminus"
02217,"\ast"
02218,"\vysmwhtcircle"
02219,"\vysmblkcircle"
0221A,"\sqrt"
0221D,"\propto"
0221E,"\infty"
0221F,"\rightangle"
02220,"\angle"
02221,"\measuredangle"
02222,"\sphericalangle"
02223,"\mid"
02224,"\nmid"
02225,"\parallel"
02226,"\nparallel"
02227,"\wedge"
02228,"\vee"
02229,"\cap"
0222A,"\cup"
0222B,"\int"
0222C,"\iint"
0222D,"\iiint"
0222E,"\oint"
0222F,"\oiint"
02230,"\oiiint"
02231,"\intclockwise"
02232,"\varointclockwise"
02233,"\ointctrclockwise"
02234,"\therefore"
02235,"\because"
02237,"\Colon"
02238,"\dotminus"
0223A,"\dotsminusdots"
0223B,"\kernelcontraction"
0223C,"\sim"
0223D,"\backsim"
0223E,"\invlazys"
02240,"\wr"
02241,"\nsim"
